項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
915,1,,でぃｎく゚い,,[diŋui],C,(名詞),164,〔植物〕,デイゴ。,,,(語源)沖縄方言ディー グ /(0)diigu/ に対応。,[deigo>deŋoi>diŋui],,,【例】でぃんく゚いぬ きや ちち はだがしらんき ‘かい=ぶたん,〈デイゴの木は獅子、旗頭に使っていた〉,してぃぬ ちちや でぃんく゚いぬ きし ‘くらり=ぶる,〈節祭の獅子はデイゴの木で作られているよ〉,,,,,,,,,,,,,,,,,,
916,1,,てぃぐてぃ,,[tiguTi],C,(名詞),164,〔植物〕,シャリンバイ。バラ科。染料に用いる。/火持ちがよく煙も少なく薪として優れている。材は堅く農具の柄などに使われる。着物用の糸、漁網の染料に使う,,,(語源)沖縄方言ティ カチ /(0)tikaci/ に対応。 ,[tekatu>tegaci>tegaTi>tiguTi],,,【例】ぱんか゚い どぅいや てぃぐてぃ-きしどぅ ‘くゎる,〈鍬の柄はシャリンバイの木で作る〉,,,,,,,,,,,,,,,,,,,,
917,1,,てぃだん,,[tidaN],C,(名詞),164,,太陽。,,,(語源)日本語テントウ〈天道〉に対応。,[*teNdau>teNda>teda>tidaN],,,【例】てぃだんや ‘とぅや くらぬん,〈太陽は人を殺さない。(太陽は人間を殺さない。すべてに恵みを与えてくれる)「与那国のことわざ」より〉,,,,,,,,,,,,,,,,,,,,
918,1,,てぃどぅぐん,1,[tiduguN],C,(名詞),164,,拳(こぶし)。,,,(語源)沖縄方言ティー ジクン /(0)tiizikuN/ に対応。,[tezuku mi>tezigumi>tiduguN],,,【例】てぃどぅぐん くぅみてぃ うってぃ まるばし,〈拳を固めて打ち転がした〉,,,,,,,,,,,,,,,,,,,,
919,1,,てぃどぅぐん,2,[tiduguN],C,(名詞),164,,欲張り。,,,,,,,【例】かりや てぃどぅぐんどー,〈彼は欲張りだよ〉,,,,,,,,,,,,,,,,,,,,
920,1,,でぃなが,,[dinaga],,(名詞),164,,土地。土。地面。〈地中〉の意。,,,(語源) ジナカ〈地中〉に対応。,[zinaka>zinaga>dinaga],,,【例】あんか゚ んたる=はでぃど。 でぃながん  あんばみりゃどぅ ありゃどぅ むぬくいや なるんでぃ,〈私が言っただろ。土地も遊ばせてあればこそ良い農作物が作ることができるんだよ〉,ん だ でぃながんき くるま うとぅぐんでぃどぅ ありゃ いらみ=とぅら し=ひり,〈あなたの土地に車を置きたいので(無料で)貸してください〉,,,,,,,,,,,,,,,,,,
921,1,,でぃなん,,[dinaN],,(形容詞),164,,汚い。,,,,,,,【例】でぃなぬ、なびんでぃな!,〈汚い、舐めるな!〉,,,,,,,,,,,,,,,,,,,,
922,1,,でぃば,,[diba],,(名詞),165,,簪(かんざし)。女性の頭髪に挿す装飾品。,,,(語源)沖 縄方言ジー ファー /(0)ziiFaa/ に対応。,[gipa>ziba>diba],,,【例】でぃばにや きーぬ でぃば、 たぎぬ でぃばんか゚ あったんか゚ あんか゚ あぶたや アルミにぬ かるーた てぃぬ むぬどぅ さし=わたる,〈簪には木の簪や竹の簪があったが、私の母はアルミ製のようなとても軽いものを挿していらっしゃったよ〉,,,,,,,,,,,,,,,,,,,,
923,1,,‘てぃぶに,,[Tibuni],C,(名詞),165,,口(くち)。,〔同〕‘てぃー,,(語源)クチボネ〈口骨〉に対応。,[ku tibone>kucibone>Tibone>Tibuni],,,【例】‘てぃぶに ふーてぃんき はたぎり,〈口を大きく開けなさい〉,うぬとぅや ‘てぃぶに ふが とぅんでぃらぬ ‘とぅー,〈この人は口が外に出ない人。(口が固い)〉,,,,,,,,,,,,,,,,,,
924,1,,でぃぶん,,[dibuN],,(名詞),165,,(1)(良い)時期。,,,,,,,【例】とぅん かまい きない むとぅ でぃぶんき ない,〈嫁をもらい、結婚して家庭を持つ時期になった〉,,,,,,,,,,,,,,,,,,,,
924,2,例文なし,でぃぶん,,[dibuN],,(名詞),165,,(良い)機会。,,,(語源)日 本語ジブン〈時分〉に対応。,,,,,,,,,,,,,,,,,,,,,,,,,
925,1,,てぃま,,[tima],,(名詞),165,,(1)手間賃。,,,,,,,【例】たぬまりたば あまだ とぅしんでぃ ひー=ぶたんか゚  てぃま あたらぬび だみゃる,〈頼まれてサトウキビの収穫に行っていたけれど、手間賃が合わないのでやめた〉,,,,,,,,,,,,,,,,,,,,
925,2,例文なし,てぃま,,[tima],,(名詞),165,,浪費。3報酬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,1,,でぃまみ,,[dimami],,(名詞),165,,落花生。南京豆。ピーナッツ〈地豆〉の意。,,,(語源)沖縄方言ジー マー ミ /(0)ziimaa mi/ に対応。,[zimame>dimami],,,【例】んかち ばやにや あがまみ、 くまみ、でぃまみ、はたぎに ‘くい=ぶたんどー,〈昔、私の家では小豆、青豆、南京豆(落花生)を畑で作っていたよ〉,,,,,,,,,,,,,,,,,,,,
927,1,,でぃみみ,,[dimimi],C,(名詞),165,〔動物〕,ミミズ。,,,,,,,【例】 で ぃ み み や   い ゆ   ぱ し   む ん だ に   で ぃ ぎ ど ぅ=ぶる,〈ミミズは魚釣りのえさに上等だよ〉,,,,,,,,,,,,,,,,,,,,
928,1,,てぃむぬ,,[timunu],,(名詞),165,,薪(たきぎ)。薪(まき)。火をくべるのに使う木。,,,(語源) 日本語タキモノ〈焚き物〉に対応。,[takimono>taimono>temono>timunu],,,【例】てぃむぬとぅいんでぃやいらんだいんびだぎんきどぅひー=ぶたる〈薪採りにはイランダ、インビ岳によく行っていた〉/てぃむぬんきちんき゚=きーいらび=ぶたんすやきんか゚くゎーびてぃきぶんちんでぃらぬんきちーんか゚すさったばむいでぃあたん〈薪にイタジイを選んでいたのは、木が堅くて煙を出さず、火力が強くよく燃えたからだ〉/まいさるてぃむぬやぶぬしあがしばい=ぶたる〈大きな薪は斧を使って裂き割っていた〉,,,,,,,,,,,,,,,,,,,,,
929,1,,‘てぃや,,[Tiya],C,(名詞),166,〔動物〕,ナマコ。,,,(語源)九州方言シ キリ〈ナマコ〉に対応。,[sikiri-a>sicirya>Tiya],,,【例】ぐまぐまいてぃ あがたてぃぬ ‘てぃや アリシんたに かーばい とぅらりたん。 ちるんき いり にてぃ ます すゆんき  びきてぃ はい=ぶたん,〈小ぶりで赤いナマコが(東崎近くの)アリシでよく捕れた。汁に入れ、煮て、塩や醤油をつけて食べていたね〉,,,,,,,,,,,,,,,,,,,,
930,1,,でぃゆ,,[diyu],,(名詞),166,,植物の芯。,,,,,,,【例】ばらんぷぬ でぃゆ。 いんぴつのでぃゆ,〈稲藁の芯。鉛筆の芯〉,,,,,,,,,,,,,,,,,,,,
931,1,,〜てぃら,,[Tira],,(助詞),166,,~だろう。終助詞。動詞・形容詞の終止形を受けて推量を表す。,,,,,,,【例】かぬとぅ や さぎぬみゃどぅ あるゆんがら、あたん また さぎ ぬむんてぃら,〈あの人は酒飲みだから明日もまた酒を飲むだろう〉,,,,,,,,,,,,,,,,,,,,
932,1,,てぃる,,[tiru],,(名詞),166,,篭。ざる。トウヅルモドキで作る。,,,(語源)沖縄方言ティー ル /(0)tiiru/ に対 応。,[teru>tiru],,,【例】てぃるや うんてぃぬくでぃ とぅ る ばすんたに みぬんか゚んたか゚ ‘かい=ぶたる,〈トウヅルモドキの篭は芋葛を仕込む時、女たちがよく使った〉,,,,,,,,,,,,,,,,,,,,
933,1,,でぃる,,[diru],,(名詞),166,,囲炉裏(いろり)〈地炉〉の意。寒いとき、病人、産婦のいるときに使用した。普段は畳の下にあって見えない。,,,,,,,【例】なしだみ はでぃまいんか゚しや ふすち=あぶや しるんなんき んかい でぃるぬ かんき にんか゚い きー =ぶたる,〈陣痛が始まると取り上げ婆さんは産縄に向かい囲炉裏(地炉)の神に(安産を)祈った〉,,,,,,,,,,,,,,,,,,,,
934,1,,てぃるん,,[tir-],B,(動詞),167,,照る。,,,(語源)日本語テル〈照る〉に対 応。,[ter->tir-],,,【例】てぃだん てぃるん,〈太陽が照る〉,,,,,,,,,,,,,,,,,,,,
935,1,,‘てぃるん,,[Tir-],A,(動詞),167,,溢(あふ)れる。,〔同〕あんでぃるん,,(語源)日本語ステル〈捨てる〉に対応。,[sute->site(r)- >s(i)Ter->Tir-],,,【例】みん ‘てぃるんどー,〈水があふれるよ〉,だっかんぬ どぅー ばんぎ ‘てぃどぅ=ぶんそー,〈薬缶の湯が沸 騰してあふれているぞ〉,,,,,,,,,,,,,,,,,,
936,1,,てぃん,,[tiN],A,(名詞),167,,天。空。,,,(語源)日本語テン〈天〉に対応。 ,[teN>tiN],,,【例】てぃんき つばいんてぃ きんがしや どぅんきどぅ かいし くー,〈天に唾を吐いたら自分に返ってくる〉,,,,,,,,,,,,,,,,,,,,
937,1,,でぃん,1,[diN],A,(名詞),167,,膳(ぜん),,,(語源)日本語ゼン〈膳〉に対応。,[zeN>deN>diN],,,【例】すんか゚てぃにや うぶさらんき ますうさい たがでぃんき  ぬし はち うとぅてぃてぃ かだるん,〈正月には型抜きした清めの塩を大皿に盛り高膳にのせ、お箸を置いて飾ります〉,んな-くる うんか゚みてぃ  あとぅや どぅむてぃんたんき かいしきでぃん さぎ んだし だい き たん,〈船香炉の行事の際は、礼拝が済むと「どぅむてぃ」と呼ばれる現在の公 民館長に相当する人たちに、会席膳にごちそうを盛り、酒をふるまって、宴 たけなわとなった〉,,,,,,,,,,,,,,,,,,
938,1,,でぃん,2,[diN],B,(名詞),167,,お金。銭(ぜに)。,,,(語源)日本語ゼニ〈銭〉に対応。 ,[zeni>deN>diN],,,【例】でぃん どぅむん,〈お金を数える〉,かりや でぃん  まーしく あん,〈彼はお金がたくさんある〉,,,,,,,,,,,,,,,,,,
939,1,,でぃん,3,[diN],C,(名詞),167,,来年。,,,(語源)沖縄方言ヤー ン /(0)yaaN/ に対応。,[yaini>yeeni>deeN>diN],,,【例】でぃんや まー いびたてぃや んさぐ なるんさ,〈来年は少しはよくなるだろうよ〉,,,,,,,,,,,,,,,,,,,,
940,1,,てぃんだ,,[tiNda],C,(名詞),168,,掌(てのひら)。,,,(語源)テビラ〈手平〉に対応。,[tebira>teNda>tiNda],,,【例】はなし うむつぁびてぃ てぃんだ うってぃ ばらた ん,〈話が面白くて掌を打って笑った〉,んだ いやとぅ あぬとぅや てぃ んだ うとぅんにどぅ ぶたる,〈あなたのお父さんと私は手拍子をするよう にとても仲が良かったよ〉,,,,,,,,,,,,,,,,,,
941,1,,‘てぃんぐん,,[TiNg-],A,(動詞),168,,繋(つな)ぐ。,,,,,,,【例】うどぅぶさんどぅ ありゃ いぬや ‘てぃんでぃ=うとぅ ぎー,〈危険だから犬は繋いでおきなさい〉,,,,,,,,,,,,,,,,,,,,
942,1,,‘てぃんてぃるん,,[TiNTir-],,(動詞),168,,(1)すぼむ。,〔同〕ちぐまるん,,,,,,【例】かたぶるち ‘てぃんてぃるん,〈肩をすぼめる〉,,,,,,,,,,,,,,,,,,,,
942,2,,‘てぃんてぃるん,,[TiNTir-],,(動詞),168,,しぼむ。3衰える。,,,,,,,【例】ういとぅ なるにゃ まらてぃん ‘てぃん てぃ どぅちら みぬん,〈老いるほどにちんこもしぼんで使い道がなくなったよ〉,,,,,,,,,,,,,,,,,,,,
943,1,,てぃんどぅ,,[tiNdu],,(名詞),168,,天井。,,,,,,,【例】てぃんどぅがら あみ むいどぅ きるんすや,〈天井から雨が漏るなあ(修理しないといけないなぁ)〉,,,,,,,,,,,,,,,,,,,,
944,1,,‘てぃんびら,,[TiNbira],,(名詞),168,,不器用者。,,,,,,,【例】ぬー しかま きみてぃん ‘てぃんびらどぅ あんすや,〈どの仕事をさせても不器用だなあ〉,どぅぬどぅんか゚ んにてぃ かんばぐん き いりらりる ばすぬ 「ちらぬさでぃ」、ながくはたぬ ぬぬ 「かんぬ ち」 しくんき うとぅぐんすや んかちがら みぬんか゚ぬ したぐき う とぅぐむぬんでぃ んだりぶいてぃ したぐ きみぬ みぬんか゚や 「‘てぃ んびら」んでぃ うさらりどぅ きたる,〈自らの葬式の時の納棺時に使用す る顔を覆う布「ちらぬさでぃ」、名前を記す,〈旗布〉、棺箱の覆い布「かんぬち」 の3点を整えておくのは、昔から女のたしなみとされてきた。それを準備し ない、あるいは織っていない女性は「‘てぃんびら,〈」不器用者〉と軽蔑された〉,,,,,,,,,,,,,,,,
945,1,,でぃんぶん,,[diNbuN],,(名詞),168,,知恵。常識。考え。知識。,,,,,,,【例】うぬ あがみや でぃんぶん あるんにどぅ ぶる,〈その子は知恵がありそうだ〉,,,,,,,,,,,,,,,,,,,,
946,1,,でぃんぶん　きるん,,[diNbuN+kir-],,(連語),169,,当てにする。,,,,,,,【例】あまだ びるんでぃ でぃんぶん きどぅ=ぶるど、たんでぃーど-,〈サトウキビの植え付け、当てにしているよ、お願いね〉,,,,,,,,,,,,,,,,,,,,
947,1,,でゃーでぃ,,[dyadi],,(名詞),169,,大事(おおごと)。大変なこと。「でゃでぃ」とも。,,,,,,,【例】いくつぁぬ=ばす は るやんき ひなん きてぃ だぎ かがい でゃーでぃどぅ あたる,〈戦争の時、畑小屋に避難してマラリアにかかり大変だったよ〉,どぅち うぶさ びてい ‘とぅびらい きるんでぃ でゃでぃ,〈友人が多くて友達づきあい がひどくてかなわない〉,でゃーでぃな くとぅ ない。 がっくんき ひ るんす ばち=みぬん,〈大変な事になった。学校に行くのを忘れてしまった〉,,,,,,,,,,,,,,,,
948,1,,てゅぬ,,[tyunu],,(名詞),169,,手斧(ちょうな)。大工道具の一つ。鍬形の斧で、木を平らにするのに用いる。,,,,,,,【例】てゅぬし きー きんどぅんでぃどぅ=ぶる,〈手斧で木材を削ろうとしている〉,,,,,,,,,,,,,,,,,,,,
949,1,,てんぷら,,[teNPura],,(名詞),169,,てんぷら。,〔同〕かんび,,,,,,【例】ちばてぃぬ てんぷら だてぃ むてぃ こー,〈ヒハツモドキのてんぷらを揚げて持ってきて〉,,,,,,,,,,,,,,,,,,,,
950,1,,〜ど,,[do],,(助詞),169,,~だよ。~よ。終助詞。,,,,,,,【例】すーや どぅぬくにてぃど,〈今日は十六日祭です(だよ)〉,うさい しくん きー=すんど,〈ごちそうを準備してきたよ〉 ,がっく うぐりるんど,〈学校に遅れるよ〉,ぬー、うんか゚ んどぅ むぬい や あたらぬんどー,〈なに、それの言うことは当たらないよ〉,,,,,,,,,,,,,,
951,1,,〜どぅ,,[du],,(助詞),169,,~こそ。焦点を表す。,,,(語源)古語ゾに対応。,,,,【例】ふぐんぬないしどぅ ふぐんどぅみいる すみる,〈フクギの実で黄色を染める〉,んだ あや かてぃ どぅーでぃどぅ あ んすや,〈あなた、絵を描くのが上手だね〉,ばぬや うんにどぅ いるんでぃ どぅ きみゃる,〈私たちはこのようにしようと決めた〉,,,,,,,,,,,,,,,,
952,1,,どぅい,1,[dui],A,(名詞),170,,柄。,,,(語源)八重山方言ユイ〈柄〉に対 応。,[yui>dui],,,【例】うぶるてぃんき たぎんた くばぬ しんたし どぅい ‘くい てぃ かみぬ みんたふんき さし=ぶたる,〈柄杓に竹やクバの芯などで柄を作って甕の耳に挿していた〉,ぱんか゚い どぅいや てぃぐてぃ-きしどぅ  ‘くゎる,〈鍬の柄はシャ リンバイの木で作る〉,,,,,,,,,,,,,,,,,,
953,1,,どぅい,2,[dui],A,(名詞),170,,結(ゆ)い。,,,,,,,【例】なが-たなや どぅい きてぃどぅ きたる,〈中の棚の畑は結いをして耕した〉,,,,,,,,,,,,,,,,,,,,
954,1,,どぅい,3,[dui],C,(名詞),170,,夕食。,,,,,,,【例】あぶたー、すーぬ どぅいや ぬーば あい=わるかや? あぬ ん てぃがない きるんど,〈お母さん、今日の夕飯は何ですか?私も手伝いするよ〉,どぅい はーなー?,〈夕飯は食べたか〉,,,,,,,,,,,,,,,,,,
955,1,,‘とぅい,,[Tui],C,(数詞),170,,一人。,,,(語源)日 本語ヒトリ〈一人〉に対応。,[pitori>hitoi>s(i)Toi>Tui],(関連用語)‘とぅい  あがみ〈一人っ子〉/どぅー ‘とぅい〈自分一人〉/ ‘とぅいな ‘とぅいな〈一 人一人〉/ ‘とぅいむぬ〈一人者〉/ ‘とぅい=むぬい〈独り言〉/ ‘とぅい  わる うや〈一人親。片親〉,,【例】‘とぅー ‘とぅい ぶらぬたん,〈人っ子一人いなかった〉,,,,,,,,,,,,,,,,,,,,
956,1,,とぅいち,,[tuiCi],,(名詞),170,,砥石(といし)。刃物を研ぐための石。,,,,,,,【例】いらら とぅんく゚んがら とぅい ち むてぃ こー,〈鎌を研ぐから砥石を持って来なさい〉,ふったや とぅ いちに とぅでぃ ‘かいよー、うどぅぶさんど,〈包丁は砥石で研いでから使 いなさいよ、あぶないよ〉,,,,,,,,,,,,,,,,,,
957,1,例文なし,どぅい-とぅち,,[duituCi], ,(名詞),170,,閏年(うるうどし)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,1,,とぅいぶん,,[tuibuN],,(名詞),170,,取り前(とりまえ)。,,,,,,,【例】んだ とぅいぶんや うがらてぃどぅ あんす さ んみん きりよ,〈あなたの取り前はこれだけだから計算しなさいよ〉,,,,,,,,,,,,,,,,,,,,
959,1,,‘とぅいむぬ,,[Tuimunu],,(名詞),171,,独身(どくしん)。独り身。結婚していない人。,,,(語源)日本語ヒトリモノ〈独り者〉に対応。,[pitorimono>hito imono>s(i)Toimono>Tuimunu],,,【例】いちまでぃん ‘とぅいむ ぬし ぶらぬんき、はやぐ とぅん かまり,〈いつまでも独り身でいないで、早く妻をめとれ〉,,,,,,,,,,,,,,,,,,,,
960,1,,とぅー,,[tu],A,(数詞),171,,(1)十(とお)。,,,,,,,【例】 と ぅ ぬ   う ゆ び ,〈十本の指〉,,,,,,,,,,,,,,,,,,,,
960,2,,とぅー,,[tu],A,(数詞),171,,十歳。,,,,,,,【例】 あ が み ん か゚   とぅんき ない,〈子供が十歳になった〉,,,,,,,,,,,,,,,,,,,,
961,1,,どぅー,1,[du],B,(名詞),171,,湯。,,,(語源)日本語ユ〈湯〉に対応。 ,[yu>du],,,【例】どぅー ばがい,〈お湯を沸かしなさい〉,,,,,,,,,,,,,,,,,,,,
962,1,,どぅー,2,[du],B,(名詞),171,,粥(かゆ)。,,,(語源)宮古方言ユヴ /yuv/ に対応。,[yu'u>du'u>du],(関連用語)うんてぃぬ どぅー〈芋粥〉,,【例】どぅー たぎ,〈お粥を炊きなさい〉,,,,,,,,,,,,,,,,,,,,
963,1,,どぅー,3,[du],C,(名詞),171,,(1)体。,,,,,,,【例】どぅーや ぐまたてぃどぅ=ぶんか゚ しからや あん,〈体は小さいが力はある〉,くとぅちぬ なちや どぅー がんどぅに きりよー,〈今 年の夏は体(に気をつけて)元気に乗り切りなさいよ-〉,,,,,,,,,,,,,,,,,,
963,2,,どぅー,3,[du],C,(名詞),171,,自分。,,,(語源)沖縄 方言ドゥー /(0)duu/ に対応。,[dou>duu>du],,,【例】どぅ ぬどぅ むてぃ=つぁぬんすや,〈自身を持てない(軟弱者だな)〉,,,,,,,,,,,,,,,,,,,,
964,1,,どぅー,4,[du], ,(名詞),171,,夜。,〔同〕どぅる。会話では「どぅー」が用いられる。,,(語源)日本語ヨ〈夜〉 に対応。,[yo>do>du],(関連用語)どぅあぎどぅーし〈徹夜〉,,【例】どぅー あぎらぬ たや んぐやんたん だまみんたん だちーだち とぅらりたん,〈夜の明けないうちはヤシガニもスッポンも面白いほど簡単に捕れたよ〉,どぅー  なるんどー,〈夜になるよ〉,どぅー あがん,〈夜が明けた〉,,,,,,,,,,,,,,,,
965,1,,‘とぅー,,[Tu],A,(名詞),171,,(1)人(ひと)。人間。,,,,,,,【例】あぬん ‘とぅ んだん ‘とぅ・,〈僕も人間、君も人間だ〉, ‘とぅ にんぎんでぃんでぃてぃ うんにぬくとぅ いらりるんすや,〈人、人間といってよくそんなことができるものだね〉,たーか ‘とぅーん か゚ わるんど,〈誰か人がいらっしゃるよ〉,,,,,,,,,,,,,,,,
965,2,,‘とぅー,,[Tu],A,(名詞),171,,話し手。私。3他人。,,,,,,,【例】う や ‘とぅぬ むぬ,〈これは他人のものだ〉,,,,,,,,,,,,,,,,,,,,
965,3,,‘とぅー,,[Tu],A,(名詞),171,,一人前。,,,(語源)日本語ヒト〈人〉に対応。,[pito>hito>s(i)To>Tu],,,【例】うん だっとぅ  ‘とぅー ない,〈これもやっと一人前の人間らしくなった〉,,,,,,,,,,,,,,,,,,,,
966,1,,どぅーさんぬ　だい,,[dusaNnudai],,(名詞),172,,十三歳の生年祝い。「どぅーさんぬまり-とぅちぬだい」とも。,,,,,,,【例】 す ー や   あんか゚ どぅーさんぬだい。 あびゃる んなに ちー しゃなんすや,〈今日は私の十三歳の生年祝い。きれいな着物を着てうれしいな〉,,,,,,,,,,,,,,,,,,,,
967,1,,どぅーち,,[duCi],A,(数詞),172,,(1)四つ。,,,,,,,【例】かちや どぅちや ぬぐい ぶんどー,〈お菓子は四つは残っているよ〉,,,,,,,,,,,,,,,,,,,,
967,2,,どぅーち,,[duCi],A,(数詞),172,,四歳。,,,(語源)日本語ヨッ ツ〈四つ〉に 対応。,[yotu>doci>duCi],,,【例】うぬ あがみてぃや うんに はやぐ どぅち な いな,〈その子はこんなに早く四歳になったか〉,,,,,,,,,,,,,,,,,,,,
968,1,,‘とぅーん,,[TuN],,(副詞),172,,全く。全然。,,,,,,,【例】‘とぅーん まー みぬん,〈全然おいしくない〉, ‘とぅーん  ういがぬん,〈全く動かない〉, ‘とぅーん うむっつぁ みぬん,〈全く面白く ない〉, ‘とぅーん かばらぬん,〈全く変わらない〉, ‘とぅーん つぁぬた ん,〈全く知らなかった〉, ‘とぅーん ふでぃ みぬん,〈全く似合わない〉, まりかいてぃ。 んま たびんきどぅ ひたるなー? ‘とぅーん んなにぬ たんすや,〈久しぶりね。島外に行っていたの? 全く見えなかったね〉,,,,,,,,
969,1,,どぅが,1,[duga],A,(名詞),172,,床(ゆか)。,,,(語源)日本語ユカ〈床〉に対応。,[yuka>duga],,,【例】どぅがぬ うやびんき たたみ き,〈床の上に畳を敷きなさい〉,,,,,,,,,,,,,,,,,,,,
970,1,,どぅが,2,[duga],A,(数詞),172,,四日。,,,(語源)日本語ヨカ〈四日〉に対応。,[yoka>doga>duga],,,【例】どぅがぬ=ひどぅ あんそ。 はーりー んにんでぃ ひる,〈四日の日だ。爬龍船競漕を見に行こう〉,,,,,,,,,,,,,,,,,,,,
971,1,,どぅｎか゚ち=とぅり,,[duŋaCituri], ,(名詞),172,,旧暦十月の凪。,,,,,,,【例】どぅんか゚ち=とぅり ないんか゚しや さくち あたんてぃん うんなが たび きみ んさんでぃどぅ んかちがら んだり=ぶる,〈旧暦十月の凪になったら、(大事な)嫡子であっても海の旅をさせてよい(安全だ)と、昔からいわれている〉,,,,,,,,,,,,,,,,,,,,
972,1,,とぅがてぃ,,[tugaTi],,(名詞),173,,舛切り。,,,(語源)日本語トカキ〈枡切り〉に対応。,[tokaki>togaci>to gaTi>tugaTi],,,【例】とぅがてぃや んかち んに はがる どぅんく゚どぅ あたん か゚ ないや とぅがてぃぬだいぬ あやんか゚りんでぃ うやし=ぶる,〈舛切りは昔、お米を量る道具であったが、今では八十八歳のお祝いのあやかりとして贈られている〉,,,,,,,,,,,,,,,,,,,,
973,1,例文なし,とぅがてぃぬ　だい,,[tugaTinu+dai],,(名詞),173,,米寿(八十八歳)のお祝い。「とぅがてぃ」〈枡切り〉を用いることからいう。,,,(語源)九州方言トカキイワイに対応。,[*tokakino yuwai>togacino duwai>tugaTinu dwai>tugaTinu dai],,,,,,,,,,,,,,,,,,,,,,,,
974,1,例文なし,どぅがぬてぃ,,[duganuTi],,(名詞),173,,翌々日。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,1,,どぅがぬちー,,[duganuCi],A,(名詞),173,,〈四日の日〉の意。海神祭。「どぅがぬひー」とも。「いすんとぅ」〈漁師〉が航海安全、大漁祈願をし、爬龍船競争を行う。,,,,,,,【例】すや どぅがぬひ どぅ あ んそ でぃ くぶらんき はーり んにんでぃ ひろ,〈今日は海神祭の日だ。久部良に爬龍船競漕を見に行こう〉,,,,,,,,,,,,,,,,,,,,
976,1,例文なし,どぅｎか゚ぶ,,[duŋabu],,(名詞),173,,豊年〈世果報〉の意。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1,例文なし,とぅがまんさいぬ　だい,,[tugamaNsainu+dai],,(名刺),173,,生まれてから十日目の祝い。名前をつける日。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,1,,とぅがら,,[tugara],,(名詞),173,,ヘビ全般を指す。日本のアオダイショウと同属の肉食の蛇で、悪臭を放つ。,,,,,,,【例】どぅなんぬ とぅがらや ‘とぅ ぷいつぁぬん,〈与那国の蛇は人を咬まない〉(関連用語)んだとぅがら,〈ヨナグニシュ ウダ〉,,,,,,,,,,,,,,,,,,,
979,1,,どぅｎき゚ゃらん,,[duŋyaras-],,(動詞),174,,大声で怒鳴り散らす。,,,,,,,【例】あぶたんか゚ どぅんき゚ゃらし=わたん,〈お母さんが大声でどなり散らしていらっしゃった〉,,,,,,,,,,,,,,,,,,,,
980,1,,どぅぐ,,[dugu],A,(名詞),174,,横。,,,(語源)日本語ヨ コ〈横〉に対応。,[yoko>dogo>dugu],(関連用語)ぬてぃ〈横糸〉,,【例】どぅぐむぬい きるんすや,〈話を横にそらしてね〉,,,,,,,,,,,,,,,,,,,,
981,1,,どぅぐい,,[dugui],,(名詞),174,,休憩。休息。休むこと。,,,,,,,【例】あー、ながどぅぐい きー,〈あー、長い休憩になってしまった〉,,,,,,,,,,,,,,,,,,,,
982,1,,どぅぐたるん,,[duguTar-],,(動詞),174,,横にする。横たわる。,,,(語源)日本語ヨコタワル〈横た わる〉に対応。,[yokotawar->dogota'ar->dogoTar->duguTar-],,,【例】 ぶ っ た い ど ぅ=ぶ り ゃ   あ ま て ぃ   ど ぅ ぐ た る ん ど,〈疲れているので、いっとき横たわろうね〉,,,,,,,,,,,,,,,,,,,,
983,1,,どぅｎく゚てぃ,,[duŋuTi],,(名詞),174,,門。建造物はなく、石垣が開いている。,,,(語源)日本語ジョ ウグチ〈錠口〉に対応。,[zyauguti >dooŋuci>doŋuTi>duŋuTi],,,【例】かりや どぅんく゚てぃ はい=しぬにんく あぬんき かがたい,〈彼は門を入ってきたとたん私に大声で怒鳴った〉,どぅんく゚てぃ あぎるん,〈門を開ける(新しい入口を作る)〉,どぅ んく゚てぃや はいばらんきどぅ とぅんかい ‘くらり=ぶる,〈門は南の方角 に向かって造られている〉,,,,,,,,,,,,,,,,
984,1,,とぅぐとぅ,,[tuguTu],,(副詞),174,,ほっと。静かに。おとなしく。安心して。,,,,,,,【例】 ぶ と ぅ=む て ぃ   だ ら し   ち む とぅぐとぅ ない,〈夫を持たせ(夫の元へ)行かせて気持ちが安心した〉,あがみてぃぬ みんぶる なでぃや しゃな きー とぅぐとぅ なる ん,〈子供の頭をなでると喜んで静かに(おとなしく)なる〉,まちり ちまし  とぅぐとぅ きー=ぶる,〈マチリも済ませて落ち着いているよ〉,,,,,,,,,,,,,,,,
985,1,,どぅぐどぅいてぃぬ　まり-とぅち,,[dugudu'iTinu+marituCi],,(名詞),174,,六十一歳の生年(還暦),,,,,,,【例】どぅぐどぅいてぃぬ まりとぅち ぬてぃ な かば,〈還暦の六十一歳は(百二十歳までと念じている者の)命数の道半ばである〉,,,,,,,,,,,,,,,,,,,,
