項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
1556,1,,〜みるん,,[mir-],,(接辞),261,,~させる。動詞の連用形に接続して使役形を作る。,,〔活用〕 ~みらぬん〈~させない〉(否定) ~み〈~させて〉(連用)~みゃん〈~させた〉(完了) ~みたん〈~させた〉(過去) ~みる〈~させる〉(連体) ~みりゃ〈~させれば〉(条件 1) ~みるば〈~させれば〉(条件 2) ~みり〈~させろ〉(命令) ~みろ〈~させよう〉(意志) ~みんな〈~させるな〉(禁止),,,,,【例】あがみ いさんき きみるん,〈子供を医者にする(医者にさせる)〉,う ぬ あがみや ぬー きみるばん うでぃまい あんどー,〈この子は何をさ せても技術があるよ〉,あがみんたんき ぶどぅい きみるん,〈子供たちに 踊りをさせる〉,,,,,,,,,,,,,,,,
1187,1,,〜ぬん,,[nu-],,(接辞),206,,~(し)ない。動詞の未然形に接続して否定形を作る。,,〔活用〕 ~ぬんき〈~なく〉(連用1)~ぬび〈~なくて〉(連用2) ~ぬたん〈なかった〉(過去) ~ぬ〈~ない〉(連体) ~ぬりゃ〈~なければ〉(条件1) ~ぬば〈~なければ〉(条件2) ~ぬたや〈~なければ〉(条件3),(語源)古語~ ヌ〈否定〉に対応。,,,,【例】べんきょー きらぬん,〈勉強しない〉,ぬーん ばがらぬん,〈何も分か らない〉,,,,,,,,,,,,,,,,,,
1632,1,,〜りるん,,[rir-],,(接辞),273,,~(ら)れる。動詞の未然形に付く。,,〔活用〕 ~にぬん〈~られない〉(否定) ~りてぃ〈~られて〉(連用) ~りゃん〈~られた〉(完了) ~りたん〈~られた〉(過去)~りる〈~られる〉(連体) ~りりゃ〈~られれば〉(条件1) ~りるば〈~られれば〉(条件2) ~りんな〈~られるな〉(禁止)1受身を表す。,,,,,【例】むちに いらりるん,〈虫に刺される〉,,,,,,,,,,,,,,,,,,,,
598,1,,‘くん,2,[K-],A,(動詞),118,,聞く。,,〔活用〕 ‘かぬん〈聞かない〉(否定) ‘かみるん〈聞かせる〉(使役)‘てぃー〈聞いて〉(連用) ‘てゃん〈聞いた〉(完了) ‘てぃたん〈聞いた〉(過去) ‘くー〈聞く〉(連体) ‘きゃ〈聞けば〉(条件1) ‘くば〈聞けば〉(条件2) ‘きー〈聞け〉(命令) ‘こー〈聞こう〉(意志) ‘くんな〈聞くな〉(禁止),(語源)日本語キク〈聞く〉 に対応。,[kik->cik->s(i)K->K-],,,【例】すだんか゚ んどぅんす ‘てぃー=うとぅぎ,〈先輩の言うことを聞いておけ〉,うやぬ んどぅくとぅ しかとぅ ‘くんすどぅ ‘とぅにんぎんど,〈親 の言うことをしっかりと聞くことが真の人間だよ〉,,,,,,,,,,,,,,,,,,
409,1,,‘かってぃるん,,[KaTir-],B,(動詞),89,,(1)捨てる。,,〔活用〕 ‘かってぃらぬん〈捨てない〉(否定) ‘かってぃみるん〈捨てさせる〉(使役)‘かってぃ〈捨てて〉(連用) ‘かってゃん〈捨てた〉(完了) ‘かってぃたん〈捨てた〉(過去) ‘かってぃる〈捨てる〉(連体) ‘かってぃりゃ〈捨てれば〉(条件1) ‘かってぃるば〈捨てれば〉(条件2) ‘かってぃり〈捨てろ〉(命令) ‘かってぃろ〈捨てよう〉(意志) ‘かってぃんな〈捨てるな〉(禁止),,,,,【例】どぅんく゚ だんでぃび ‘かってゃん,〈道具が壊れたので捨てた〉,いら ぬ むぬや ‘かってぃり,〈要らないものは捨てなさい〉,,,,,,,,,,,,,,,,,,
1,1,,あー,,[a],B,(名詞),28,〔植物〕,粟(アワ)。穀物の一つ。,,,(語源)日本語アワ〈粟〉に対応。,[awa>a'a>a],,,【例】あー ちんや まいぬいーとぅ まんでぃてぃ はい=ぶたる,〈粟、モチキビは米の飯と混ぜて食べていた〉,,,,,,,,,,,,,,,,,,,,
2,1,,あーが,,[aga],C,(副詞),28,,「あが」とも。たった。わずか。ほんの。数量が少ないことを強調する。,,,,,,,【例】 あーが あんかてぃどぅ はたぎ きしや,〈たったこれだけしか畑を耕していないのか〉,,,,,,,,,,,,,,,,,,,,
3,1,,あいーっ,,[ai],,(感動詞),28,,(1)しまった。,,,,,,,【例】あいーっ。 てぃー ばっぱい=みぬん,〈しまった。手順を間違えてしまった〉,,,,,,,,,,,,,,,,,,,,
3,2,,あいーっ,,[ai],,(感動詞),28,,うるさい。,,,,,,,【例】あいーっ。‘たー むぬんな,〈うるさい。もうしゃべるな〉,,,,,,,,,,,,,,,,,,,,
4,1,,あいぐん,,[aig-],B,(動詞),28,,(1)歩く。,,,,,,,【例】だんぬみ あみてぃがら あいぐんな,〈暗い道を歩くな〉,とぅ ないぬ いやてぃや びーてぃ あいてぃ=わる,〈隣のおじさんが酔っ払っ て歩いている〉,,,,,,,,,,,,,,,,,,
